time
659
986
919
562
734
608
913
963
959
999
954
807
892
922
1016
1049
815
668
932
744
873
824
1097
666
843
582
966
1083
902
961
750
831
835
1010
885
770
598
800
598
558
747
954
1116
988
738
789
524
666
614
889
988
659
1018
950
1043
597
813
1059
1035
798
583
727
756
774
554
544
934
660
1004
1126
488
961
893
622
752
571
698
743
823
607
421
701
968
752
878
556
1185
817
659
518
546
416
544
642
975
820
845
664
862
957
883
749
888
1013
1045
803
972
951
993
1077
920
765
1099
911
1166
961
968
1012
949
959
1006
809
780
1002
905
721
967
941
783
910
781
1078
777
809
866
1247
837
1360
1006
1102
918
943
911
1098
950
1067
836
972
822
925
739
1150
956
887
1006
920
664
1062
827
994
877
903
979
820
958
873
972
880
724
666
749
767
946
874
871
717
691
1194
865
628
657
797
1153
859
919
921
919
838
1015
808
903
963
962
1097
1059
1216
846
976
735
805
773
865
742
905
844
954
955
876
701
728
1045
781
847
978
1158
825
709
793
696
926
991
